case,tensor_count,op_count,edge_count,noncopy_op_count,ddr_tensor_count,ddr_input_count,ddr_input_bytes,ddr_output_bytes,pipe_m_op_count,pipe_m_cycles,pipe_v_op_count,pipe_v_cycles,pipe_mte2_op_count,pipe_mte2_cycles,pipe_mte3_op_count,pipe_mte3_cycles,tensor_total_bytes,max_tensor_bytes,tensor_size_p50_bytes,tensor_size_p90_bytes,shared_input_count,shared_input_bytes,topological_level_count,estimated_critical_path_cycles,maximum_forward_path_cycles,maximum_backward_path_cycles
case_001,1202,1001,2402,600,401,201,820352,819200,200,232800,400,30400,201,0,200,0,4917504,4096,4096.0,4096,201,820352,5,1318,1318,1318
case_002,2595,2197,5392,1798,399,398,1222656,1536,800,240000,998,35928,398,0,1,0,5208576,4608,1536,4608,199,916992,26,2978,2978,2978
case_003,13868,13670,36295,13455,215,198,1284230,34,2550,438792,10905,325189,198,0,17,0,10353812,32768,512.0,2048,93,559238,307,28287,28287,28287
case_004,1116,1002,2670,777,225,114,451584,340992,333,385614,444,47952,114,0,111,0,5336064,36864,6144.0,6144,114,451584,8,2750,2750,2750
case_005,4298,4209,11187,4113,96,89,318822,14592,816,63882,3297,60930,89,0,7,0,3550860,9216,768.0,2304,71,235878,140,6896,6896,6896
case_006,982,851,1995,678,173,131,543264,84,59,18660,619,69000,131,0,42,0,3709238,16384,1152.0,16384,72,423948,24,2838,2838,2838
case_007,5556,4998,13326,3885,1113,558,880128,852480,1665,979020,2220,253080,558,0,555,0,12842496,9216,3072.0,3072,558,880128,8,1634,1634,1634
case_008,1836,1404,3348,864,540,432,1990872,663552,216,250128,648,237168,432,0,108,0,15303600,18432,6144.0,18432,0,0,10,4514,4514,4514
case_009,6376,6058,15754,5671,387,318,495194,138,966,65160,4705,119992,318,0,69,0,3302976,8192,256.0,1024,213,292928,368,9967,9967,9967
case_010,889,796,1899,667,129,93,384078,72,131,44610,536,55496,93,0,36,0,2941496,16384,2048,16384,58,314688,64,3148,3148,3148
case_011,1056,880,2448,688,192,176,540672,65536,352,184448,336,25536,176,0,16,0,3964928,4096,4096.0,4096,176,540672,24,2122,2122,2122
case_012,1555,1304,3131,972,332,251,484096,70802,135,35572,837,32237,251,0,81,0,2046444,9216,1152,2048,108,314582,21,2508,2508,2508
case_013,4190,3202,8126,1968,1234,988,2023424,503808,984,263712,984,43296,988,0,246,0,8581120,2048,2048.0,2048,4,8192,6,402,402,402
case_014,40287,38666,108272,35705,2961,1621,9911640,21100,16215,17225748,19490,1651424,1621,0,1340,0,193330034,165888,6144,6144,1615,9893208,126,31970,31970,31970
case_015,1501,1290,3107,1013,277,211,884482,132,130,94980,883,101497,211,0,66,0,5017738,32768,768,12288,101,733652,31,7915,7915,7915
case_016,18020,18008,43019,17995,13,12,393216,2,0,0,17995,7714975,12,0,1,0,360593104,32768,32768.0,32768,12,393216,2442,655142,655142,655142
case_017,2015,1758,4245,1373,385,257,535118,108744,110,110600,1263,67202,257,0,128,0,3039622,24576,1024,2048,178,468506,20,5982,5982,5982
case_018,3717,3285,8718,2727,558,432,1592596,252,1092,971320,1635,112731,432,0,126,0,12182654,8192,4096,4608,242,1350656,30,3541,3541,3541
case_019,854,766,1841,647,119,88,179252,7732,129,48436,518,40276,88,0,31,0,1707988,8192,2048.0,3072,39,103968,81,12236,12236,12236
case_020,7872,7584,18048,7008,576,288,1179648,1179648,0,0,7008,532608,288,0,288,0,32243712,4096,4096.0,4096,288,1179648,26,1826,1826,1826
case_021,4900,4450,12820,3920,530,450,2355200,983040,2000,6192000,1920,783360,450,0,80,0,53862400,12288,12288.0,12288,450,2355200,9,5546,5546,5546
case_022,1705,1567,3720,1356,211,138,213540,146,23,4484,1333,54087,138,0,73,0,2237688,8192,1024,2048,113,184846,38,1988,1988,1988
case_023,1336,1202,2869,1011,191,134,434122,9322,64,63384,947,69558,134,0,57,0,2982630,24576,2048.0,4096,71,249766,33,4220,4220,4220
case_024,5984,5972,14255,5959,13,12,393216,2,0,0,5959,2554795,12,0,1,0,119935528,32768,32768.0,32768,12,393216,810,216950,216950,216950
case_025,26666,23997,63990,18662,5335,2669,4122624,4094976,7998,4702824,10664,1215696,2669,0,2666,0,61479936,9216,3072.0,3072,2669,4122624,8,1634,1634,1634
case_026,871,769,1849,636,133,102,488886,39968,102,40992,534,70768,102,0,31,0,4254342,24576,3200,16384,58,396720,51,4321,4321,4321
case_027,2160,1800,5024,1424,376,360,1843200,196608,720,2229120,704,287232,360,0,16,0,21381120,12288,12288.0,12288,360,1843200,47,21050,21050,21050
case_028,20151,19944,51822,19584,360,207,4028544,1880064,8262,38974608,11322,1975536,207,0,153,0,104410368,165888,3072,12288,54,2148480,126,246818,246818,246818
case_029,1281,1113,2772,861,252,168,258132,172032,0,0,861,37485,168,0,84,0,1549338,2048,2048,2048,147,258090,14,409,409,409
case_030,11940,11248,30954,10070,1178,692,2393088,972,4472,2776480,5598,406822,692,0,486,0,45791096,6144,4096.0,6144,596,1950720,14,1496,1496,1496
case_031,7365,6805,18435,6135,670,560,2184820,220,2122,1334492,4013,221025,560,0,110,0,20168404,13824,4096,4096,497,2054758,138,13059,13059,13059
case_032,1186,1035,2469,827,208,151,279156,13932,48,10150,779,33995,151,0,57,0,1537524,4608,1024.0,4096,80,171608,32,1148,1148,1148
case_033,4572,4069,11073,3465,604,503,2889776,83134,1413,1728108,2052,192042,503,0,101,0,24461520,13824,6144.0,6144,427,2299944,36,6302,6302,6302
case_034,5144,4545,11907,3745,800,599,2279984,402,1262,749160,2483,194956,599,0,201,0,16713330,8192,3072.0,6144,468,1773074,26,3679,3679,3679
case_035,4538,4237,10712,3857,380,301,396878,13976,516,62192,3341,143909,301,0,79,0,4771216,8192,512.0,2048,184,286266,335,17202,17202,17202
case_036,4802,4001,9602,2400,1601,801,3277952,3276800,800,931200,1600,121600,801,0,800,0,19663104,4096,4096.0,4096,801,3277952,5,1318,1318,1318
case_037,1160,980,2740,780,200,180,532480,81920,400,209600,380,28880,180,0,20,0,4341760,4096,4096.0,4096,180,532480,8,906,906,906
case_038,7649,6843,18941,5907,936,806,2794506,8444,2630,1325000,3277,167776,806,0,130,0,20021784,32768,3072,3072,773,2752512,38,8756,8756,8756
case_039,6612,5966,17182,5250,716,646,4202496,286720,2660,1377880,2590,98420,646,0,70,0,30195712,8192,4096.0,8192,646,4202496,10,786,786,786
case_040,3647,3381,8621,3083,298,266,911174,64,571,111972,2512,185751,266,0,32,0,9653756,16384,1152,8192,68,399174,231,16122,16122,16122
case_041,19210,18149,51024,16594,1555,1061,4948992,988,7558,5895240,9036,607750,1061,0,494,0,70537108,6144,4096.0,4096,1057,4932608,51,1769,1769,1769
case_042,5853,5345,14855,4733,612,508,2364192,24772,2083,1599076,2650,226026,508,0,104,0,24034948,18432,4096,6144,492,2283296,55,5687,5687,5687
case_043,10140,9756,25867,9309,447,384,1430996,126,1968,517752,7341,343841,384,0,63,0,12920912,16384,1024.0,2048,336,1255880,204,27476,27476,27476
case_044,1497,1436,3686,1364,72,61,952928,22528,550,74404,814,9988,61,0,11,0,3018176,73728,512,2048,50,930400,126,7674,7674,7674
case_045,1855,1787,4253,1651,136,68,278528,278528,0,0,1651,125476,68,0,68,0,7598080,4096,4096,4096,68,278528,26,1826,1826,1826
case_046,1116,1058,2708,992,66,58,995936,65536,400,209248,592,18400,58,0,8,0,5227712,73728,2048.0,8192,50,930400,126,28458,28458,28458
case_047,14259,13988,37206,13710,278,271,457286,6656,2720,153760,10990,259370,271,0,7,0,5435148,4096,256,1024,111,170566,462,19992,19992,19992
case_048,2069,1900,4961,1728,172,169,410182,4608,378,139536,1350,120060,169,0,3,0,2436332,4096,512,2048,61,152134,371,75962,75962,75962
case_049,4609,4465,11684,4303,162,144,152504,36,794,95464,3509,165715,144,0,18,0,4064356,8192,1024,2048,46,40102,188,8923,8923,8923
case_050,4969,4781,12462,4555,226,188,319300,76,781,51968,3774,133411,188,0,38,0,3949894,8192,384,1152,93,229806,188,6831,6831,6831
case_051,1441,1429,3398,1416,13,12,393216,2,0,0,1416,607080,12,0,1,0,29099090,32768,32768,32768,12,393216,194,51554,51554,51554
case_052,1606,1347,3272,1008,339,259,810044,160,174,141528,834,62595,259,0,80,0,3835682,13824,2048.0,4608,91,289296,19,3667,3667,3667
case_053,12377,12046,31833,11670,376,331,2896918,98370,2728,1212726,8942,344076,331,0,45,0,18735136,73728,384,3456,217,1897750,243,56914,56914,56914
case_054,16484,16133,42855,15751,382,351,1606214,62,3090,574216,12661,440672,351,0,31,0,14319950,8192,768.0,1536,159,291398,356,20293,20293,20293
case_055,1641,1468,3467,1236,232,173,625692,118,91,61796,1145,69049,173,0,59,0,3505018,13824,2048,4608,114,430606,30,6964,6964,6964
case_056,8157,7936,20894,7678,258,221,221526,74,1372,131016,6306,245953,221,0,37,0,5660336,4096,512,2048,103,122410,302,13739,13739,13739
case_057,1180,1053,2563,865,188,127,336588,5872,99,14062,766,47565,127,0,61,0,1933158,4608,1024.0,4096,102,323252,103,8191,8191,8191
case_058,18942,17886,52347,16575,1311,1056,6623232,1044480,8415,4358970,8160,310080,1056,0,255,0,82182144,8192,4096.0,4096,1056,6623232,9,748,748,748
case_059,3520,3168,9088,2752,416,352,1081344,262144,1408,737792,1344,102144,352,0,64,0,13697024,4096,4096.0,4096,352,1081344,24,2122,2122,2122
case_060,6752,6086,16435,5281,805,666,2098728,278,1835,720232,3446,273539,666,0,139,0,21107010,8192,3072.0,8192,638,2018836,43,4254,4254,4254
case_061,1709,1450,3505,1115,335,259,544036,152,202,71456,913,27572,259,0,76,0,2205930,8192,1024,3200,112,210450,47,11508,11508,11508
case_062,28361,23999,58906,19636,4363,4362,13400064,1536,8728,2618400,10908,392688,4362,0,1,0,56962560,4608,1536,4608,2181,10050048,30,3122,3122,3122
case_063,10629,8995,22078,7360,1635,1634,5019648,1536,3272,981600,4088,147168,1634,0,1,0,21345792,4608,1536,4608,817,3764736,28,3050,3050,3050
case_064,1034,972,2550,906,66,62,35622,1792,186,7308,720,15744,62,0,4,0,325708,1024,256.0,512,26,14118,125,3530,3530,3530
case_065,1067,914,2164,704,210,153,299720,16482,67,28260,637,29518,153,0,57,0,1495780,4608,1024,4608,56,133788,30,1267,1267,1267
case_066,6362,6181,16324,5962,219,181,1027116,79918,1175,269694,4787,170683,181,0,38,0,6524788,36864,512.0,2048,151,785196,156,32242,32242,32242
case_067,9117,8996,23246,8804,192,121,4884864,1163264,3550,58915232,5254,2360608,121,0,71,0,67205888,294912,4096,16384,50,3721600,126,863042,863042,863042
