problem,ncores,series,case_count,missing_cases,mean_speedup
1,1,no_l2,4,1,1.0
1,2,no_l2,4,1,1.4935661830242393
1,3,no_l2,3,2,1.8239754566868716
1,4,no_l2,3,2,2.4296350377219804
1,5,no_l2,3,2,2.905572478933861
2,1,no_l2,3,2,1.0
2,2,no_l2,4,1,1.6437352533013265
2,3,no_l2,3,2,2.121936973180477
2,4,no_l2,3,2,2.5596405873779604
2,5,no_l2,3,2,2.9225370293379846
3,1,no_l2,3,2,1.0
3,1,l2,3,2,1.0001040266213221
3,2,no_l2,4,1,1.6437352533013265
3,2,l2,4,1,1.5757501752521867
3,3,no_l2,3,2,2.121936973180477
3,3,l2,3,2,1.8982345105684237
3,4,no_l2,3,2,2.5596405873779604
3,4,l2,3,2,2.1340552595340876
3,5,no_l2,3,2,2.9225370293379846
3,5,l2,3,2,2.657998796121567
3,1,cache_speedup,3,2,1.0001040266213221
3,2,cache_speedup,5,0,0.9829466182281763
3,3,cache_speedup,4,1,0.8746962281651203
3,4,cache_speedup,4,1,0.7794640869282443
3,5,cache_speedup,4,1,0.889476520346784
