case,problem,ncores,method,makespan,single_core_baseline,speedup,added_copy_bytes,original_copy_bytes,scheduled_copy_bytes,cache_hit_rate,subgraph_count,solver_runtime_sec,evaluator_runtime_sec,baseline_evaluator_runtime_sec,evaluator_calls,seed,makespan_no_l2,makespan_l2,cache_speedup,status,error,best_evaluation_tag
case_001,1,2,tensor_cut_critical_list,116868,233110,1.9946435294520313,1152,1639552,1640704,,2,0.09472479252144694,0.5494451243430376,0.1720719998702407,4,0,,,,evaluated,,case_001_p1_n2_eval_0002_g2
case_001,2,2,co_location_critical_list,116868,233110,1.9946435294520313,1152,1639552,1640704,,4,0.054163333028554916,0.2126798750832677,0.0,2,0,,,,evaluated,,case_001_p2_n2_eval_0001_g4
case_001,3,2,fifo_cache_aware_list,116868,233110,1.9946435294520313,1152,1639552,1640704,0.0,4,0.07912529166787863,0.31998470798134804,0.0,3,0,116868,116868,1.0,evaluated,,case_001_p3_n2_eval_0001_g4
case_014,1,2,tensor_cut_critical_list,18184664,,,65626724,9932740,75559464,,2,2.933250625152141,151.07859962480143,0.0,1,0,,,,evaluated,singlecore baseline previously failed; see /Users/macbook/Documents/数学建模 A 题/results/logs/case_014_singlecore.failed.txt,case_014_p1_n2_eval_0001_g2
case_014,1,3,tensor_cut_critical_list,18206061,,,69896804,9932740,79829544,,3,2.150446082931012,106.43412991706282,0.0,1,0,,,,evaluated,singlecore baseline previously failed; see /Users/macbook/Documents/数学建模 A 题/results/logs/case_014_singlecore.failed.txt,case_014_p1_n3_eval_0001_g3
case_014,1,4,tensor_cut_critical_list,13624358,,,59625280,9932740,69558020,,4,2.508281874936074,102.86117399996147,0.0,1,0,,,,evaluated,singlecore baseline previously failed; see /Users/macbook/Documents/数学建模 A 题/results/logs/case_014_singlecore.failed.txt,case_014_p1_n4_eval_0001_g4
case_014,1,5,tensor_cut_critical_list,13630764,,,58981696,9932740,68914436,,5,28.04835908394307,160.54232720797881,0.0,1,0,,,,evaluated,singlecore baseline previously failed; see /Users/macbook/Documents/数学建模 A 题/results/logs/case_014_singlecore.failed.txt,case_014_p1_n5_eval_0001_g5
case_014,2,2,co_location_critical_list,14977860,,,70362528,9932740,80295268,,4,2.4367057932540774,25.076983290724456,0.0,1,0,,,,evaluated,singlecore baseline previously failed; see /Users/macbook/Documents/数学建模 A 题/results/logs/case_014_singlecore.failed.txt,case_014_p2_n2_eval_0001_g4
case_014,2,3,co_location_critical_list,10253458,,,63751292,9932740,73684032,,6,3.8518130839802325,20.09254899993539,0.0,1,0,,,,evaluated,singlecore baseline previously failed; see /Users/macbook/Documents/数学建模 A 题/results/logs/case_014_singlecore.failed.txt,case_014_p2_n3_eval_0001_g6
case_014,2,4,co_location_critical_list,8636778,,,66075260,9932740,76008000,,8,2.8768163328059018,17.4934450420551,0.0,1,0,,,,evaluated,singlecore baseline previously failed; see /Users/macbook/Documents/数学建模 A 题/results/logs/case_014_singlecore.failed.txt,case_014_p2_n4_eval_0001_g8
case_014,2,5,co_location_critical_list,6969885,,,65224316,9932740,75157056,,10,2.669557333458215,16.46624583285302,0.0,1,0,,,,evaluated,singlecore baseline previously failed; see /Users/macbook/Documents/数学建模 A 题/results/logs/case_014_singlecore.failed.txt,case_014_p2_n5_eval_0001_g10
